"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 27 03:40:48 UTC 2024","Sat Jan 27 03:40:49 UTC 2024","1752","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sat Jan 27 03:50:56 UTC 2024","Sat Jan 27 03:55:07 UTC 2024","250531","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sat Jan 27 02:52:35 UTC 2024","Sat Jan 27 02:52:42 UTC 2024","7675","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sat Jan 27 02:50:07 UTC 2024","Sat Jan 27 02:50:11 UTC 2024","3869","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Jan 27 04:37:24 UTC 2024","Sat Jan 27 04:37:41 UTC 2024","16365","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Sat Jan 27 02:47:34 UTC 2024","Sat Jan 27 02:47:37 UTC 2024","3327","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sat Jan 27 03:46:50 UTC 2024","Sat Jan 27 03:46:52 UTC 2024","1775","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Sat Jan 27 02:50:25 UTC 2024","Sat Jan 27 02:50:44 UTC 2024","19241","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sat Jan 27 02:43:35 UTC 2024","Sat Jan 27 02:43:55 UTC 2024","19678","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Jan 27 04:40:43 UTC 2024","Sat Jan 27 04:41:23 UTC 2024","39928","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Sat Jan 27 04:10:01 UTC 2024","Sat Jan 27 04:10:03 UTC 2024","1106","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Sat Jan 27 03:46:19 UTC 2024","Sat Jan 27 03:46:22 UTC 2024","2281","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Sat Jan 27 02:43:28 UTC 2024","Sat Jan 27 02:43:35 UTC 2024","6895","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Sat Jan 27 04:49:23 UTC 2024","Sat Jan 27 04:49:26 UTC 2024","3025","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
